Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.9,87542445,12,7295203.8,7479756.0,6691595,7522380,356700.8,cudnn_generated_fort_native_sdpa_sm100_flash_bprop_f16_knob_2_128x128x128_1x4x1_cga1x1x1_kernel0_0
30.5,70594352,24,2941431.3,2804436.5,1610818,4382823,1170250.4,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
9.7,22403747,9,2489305.2,2305796.0,2232611,2935653,327111.6,cudnn_generated_fort_native_sdpa_sm100_flash_fprop_f16_knob_1_128x128x128_4x1x1_cga2x1x1_kernel0_0
8.6,19913824,9,2212647.1,2212611.0,2212452,2212900,129.6,input_concatenate_fusion_2
3.4,7870382,3,2623460.7,2624293.0,2616260,2629829,6822.7,cudnn_generated_fort_native_sdpa_sm100_flash_fprop_f16_knob_1_128x128x128_4x1x1_cga1x1x1_kernel0_0
1.4,3321766,3,1107255.3,1106978.0,1106946,1107842,508.3,input_concatenate_fusion_3
1.3,3079112,18,171061.8,162848.0,162176,226624,18421.4,loop_pad_fusion_1
1.3,2905158,12,242096.5,218624.5,211424,316641,44881.1,"void cudnn::fusion::compute_dot_do_o_specialized<(bool)1, (int)128>(const void *, const void *, void *, void *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, const void *, const void *, const void *, const void *, const void *, bool, const void *, void *, const void *, int, int, int, int, int, int, int, int, int, float *, float *, float *)"
1.1,2593859,27,96068.9,97633.0,72320,108896,9689.0,wrapped_slice_5
0.9,2055300,3,685100.0,685505.0,681505,688290,3410.6,loop_pad_fusion_12
0.8,1755586,12,146298.8,116784.5,115840,237248,53826.9,"void cudnn::fusion::convert_dq_to_16bits<(bool)1>(const void *, void *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, const float *, const float *, const float *, float *, const void *, void *, void *, bool, bool)"
0.6,1345475,3,448491.7,448513.0,448353,448609,129.3,loop_subtract_fusion
0.6,1333890,3,444630.0,443905.0,443809,446176,1339.7,loop_add_fusion
0.5,1105888,3,368629.3,368928.0,367808,369152,720.1,loop_add_fusion_1
0.4,927106,9,103011.8,104160.0,96480,107488,4160.3,wrapped_slice_10
0.4,862208,3,287402.7,287552.0,286880,287776,466.3,input_convert_reduce_fusion
0.2,457920,3,152640.0,153024.0,151616,153280,896.0,wrapped_slice_25
0.2,445187,3,148395.7,148289.0,148257,148641,213.1,wrapped_slice_24
0.1,124576,9,13841.8,8704.0,8512,24736,7843.4,input_subtract_transpose_fusion_2
0.1,124287,21,5918.4,6240.0,480,14688,4779.4,loop_multiply_fusion_12
0.0,103232,9,11470.2,10304.0,5472,16032,3822.9,wrapped_slice_9
0.0,66656,3,22218.7,22560.0,21120,22976,973.9,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,62368,9,6929.8,4288.0,4000,15424,4354.6,loop_pad_fusion
0.0,59392,12,4949.3,5392.0,928,9024,2840.9,"transformer_engine::fused_attn::populate_rng_state_kernel(long *, const long *, long)"
0.0,30336,3,10112.0,9856.0,8992,11488,1267.5,loop_compare_fusion_2
0.0,27488,3,9162.7,10208.0,6624,10656,2209.9,loop_compare_fusion
0.0,6144,3,2048.0,2016.0,1984,2144,84.7,input_reduce_fusion
0.0,3550,3,1183.3,1119.0,1119,1312,111.4,loop_compare_fusion_1
0.0,3232,3,1077.3,1056.0,832,1344,256.7,loop_broadcast_fusion
0.0,2336,3,778.7,768.0,768,800,18.5,loop_broadcast_fusion_1
